No;Cara Mengatasi dan Obat;Rekomendasi
1;Benzoyl Peroxide: gunakan obat yang efektif membunuh bakteri penyebab jerawat;1
2;Retinoid Topikal: gunakan untuk membersihkan pori-pori dan mengurangi peradangan;1
3;Doksisiklin: Gunakan Antibiotik yang sering diresepkan untuk mengurangi peradangan pada jerawag;1
4;Isotretinoin: Digunakan untuk kasus jerawat yang parah atau resisten terhadap pengobatan lainnya;1
5;Krioterapi menggunakan nitrogen cair untuk membekukan dan menghancurkan sel-sel yang terkena actinic keratosis;2
6;Terapi Fotodinamik melibatkan penggunaan bahan fotosensitizer yang diaplikasikan ke area yang terkena actinic keratosis;2
7;Imiquimod: Krim topikal yang merangsang sistem kekebalan tubuh untuk menghancurkan sel-sel keratosis aktinik;2
8;Antijamur Topikal: Krim, lotion, atau solusi antijamur seperti clotrimazole, miconazole, atau terbinafine dapat diaplikasikan langsung ke kuku yang terinfeksi;3
9;Terbinafine: Obat oral yang sering diresepkan untuk infeksi jamur kuku;3
10;Terapi Laser: Beberapa dokter menggunakan terapi laser untuk mengobati infeksi jamur kuku;3
11;Kortikosteroid Topikal: Krim atau salep kortikosteroid, seperti hidrokortison, dapat digunakan untuk mengurangi peradangan dan gatal pada area yang terkena;4
12;Analog Vitamin D: Krim atau salep yang mengandung analog vitamin D, seperti calcipotriol, dapat membantu mengurangi pertumbuhan sel-sel kulit yang berlebihan;4
13;Salisilat Topikal: Salep atau krim yang mengandung asam salisilat dapat membantu mengurangi pengelupasan dan mengurangi gatal;4
14;Methotrexate: Obat yang diminum atau disuntikkan untuk menghambat pertumbuhan sel kulit yang berlebihan;4
15;Kortikosteroid Topikal: Krim atau salep kortikosteroid, seperti hidrokortison, dapat digunakan untuk mengurangi peradangan dan gatal pada area yang terkena;5
16;Analog Vitamin D: Krim atau salep yang mengandung analog vitamin D, seperti calcipotriol, dapat membantu mengurangi pertumbuhan sel-sel kulit yang berlebihan;5
17;Salisilat Topikal: Salep atau krim yang mengandung asam salisilat dapat membantu mengurangi pengelupasan dan mengurangi gatal;5
18;Methotrexate: Obat yang diminum atau disuntikkan untuk menghambat pertumbuhan sel kulit yang berlebihan;5
